date,day_of_week,month,is_weekday,file_count_AM_actual,file_count_PM_actual,total_records_AM_actual,total_records_PM_actual,file_count_AM_predicted,file_count_PM_predicted,total_records_AM_predicted,total_records_PM_predicted
2020-08-03,0,8,1,1.0,2.0,1998874.0,3152179.0,3.211847783454525,2.3256384599015103,7024618.989330134,4147840.6534463023
2020-08-04,1,8,1,1.0,6.0,2897441.0,12756083.0,3.019368272227891,7.124079092815711,5831225.9704340855,16131479.385329086
2020-08-05,2,8,1,7.0,1.0,18973979.0,2007721.0,2.0920372527393205,1.094705310661148,3557570.4090345176,771693.6201825109
2020-08-06,3,8,1,1.0,1.0,234416.0,286635.0,1.2450761168673563,1.2875968836221632,945051.4115754031,1102601.7175621553
2020-08-07,4,8,1,1.0,1.0,618042.0,36258.0,1.084281095098724,1.4407982589964226,915283.0884369138,1688274.4891014025
2020-08-08,5,8,0,1.0,1.0,9209.0,873126.0,1.1971463181123578,1.0,809786.5005901529,873126.0
2020-08-10,0,8,1,2.0,1.0,3593520.0,1483308.0,3.211847783454525,2.3256384599015103,7024618.989330134,4147840.6534463023
2020-08-11,1,8,1,2.0,6.0,3769430.0,14334055.0,3.019368272227891,7.124079092815711,5831225.9704340855,16131479.385329086
2020-08-12,2,8,1,4.0,1.0,8708644.0,2176660.0,2.0920372527393205,1.094705310661148,3557570.4090345176,771693.6201825109
2020-08-13,3,8,1,1.0,1.0,729447.0,113664.0,1.2450761168673563,1.2875968836221632,945051.4115754031,1102601.7175621553
2020-08-14,4,8,1,1.0,1.0,320779.0,64463.0,1.084281095098724,1.4407982589964226,915283.0884369138,1688274.4891014025
2020-08-15,5,8,0,1.0,1.0,382980.0,873126.0,1.1971463181123578,1.0,809786.5005901529,873126.0
2020-08-17,0,8,1,2.0,1.0,4531800.0,802397.0,3.211847783454525,2.3256384599015103,7024618.989330134,4147840.6534463023
2020-08-18,1,8,1,2.0,6.0,3383050.0,14727836.0,3.019368272227891,7.124079092815711,5831225.9704340855,16131479.385329086
2020-08-19,2,8,1,2.0,1.0,3602325.0,992479.0,2.0920372527393205,1.094705310661148,3557570.4090345176,771693.6201825109
2020-08-20,3,8,1,1.0,5.0,625521.0,10558749.0,1.2450761168673563,1.2875968836221632,945051.4115754031,1102601.7175621553
2020-08-21,4,8,1,1.0,1.0,1449602.0,425896.0,1.084281095098724,1.4407982589964226,915283.0884369138,1688274.4891014025
2020-08-22,5,8,0,1.0,1.0,661234.0,873126.0,1.1971463181123578,1.0,809786.5005901529,873126.0
2020-08-24,0,8,1,1.0,1.0,2411469.0,2443258.0,3.211847783454525,2.3256384599015103,7024618.989330134,4147840.6534463023
2020-08-25,1,8,1,1.0,6.0,2608707.0,14807684.0,3.019368272227891,7.124079092815711,5831225.9704340855,16131479.385329086
2020-08-26,2,8,1,4.0,1.0,7673011.0,1603937.0,2.0920372527393205,1.094705310661148,3557570.4090345176,771693.6201825109
2020-08-27,3,8,1,1.0,1.0,156523.0,10091.0,1.2450761168673563,1.2875968836221632,945051.4115754031,1102601.7175621553
2020-08-28,4,8,1,1.0,1.0,236497.0,95980.0,1.084281095098724,1.4407982589964226,915283.0884369138,1688274.4891014025
